/	apps.store.views.home	store:home
/account/	apps.accounts.views.dashboard	accounts:dashboard
/account/addresses/	apps.accounts.views.addresses	accounts:addresses
/account/addresses/<int:pk>/default/	apps.accounts.views.address_set_default	accounts:address_set_default
/account/addresses/<int:pk>/delete/	apps.accounts.views.address_delete	accounts:address_delete
/account/addresses/<int:pk>/edit/	apps.accounts.views.address_edit	accounts:address_edit
/account/addresses/add/	apps.accounts.views.address_add	accounts:address_add
/account/login/	apps.accounts.views.login_view	accounts:login
/account/logout/	apps.accounts.views.logout_view	accounts:logout
/account/orders/	apps.accounts.views.order_history	accounts:order_history
/account/orders/<str:reference>/	apps.accounts.views.order_detail	accounts:order_detail
/account/profile/	apps.accounts.views.profile	accounts:profile
/account/signup/	apps.accounts.views.signup_view	accounts:signup
/book-appointment/	apps.pages.views.book_appointment	pages:book_appointment
/book-appointment/submit/	apps.pages.views.book_appointment_submit	pages:book_appointment_submit
/cart/	apps.orders.views.cart_detail	orders:cart_detail
/cart/add/<int:product_id>/	apps.orders.views.cart_add	orders:cart_add
/cart/remove/<int:item_id>/	apps.orders.views.cart_remove	orders:cart_remove
/cart/update/<int:item_id>/	apps.orders.views.cart_update	orders:cart_update
/checkout/	apps.orders.views.checkout	orders:checkout
/collections/	apps.store.views.collection_list	store:collection_list
/collections/<slug:slug>/	apps.store.views.collection_detail	store:collection_detail
/contact/	apps.pages.views.contact	pages:contact
/contact/submit/	apps.pages.views.contact_submit	pages:contact_submit
/faqs/	apps.pages.views.faqs	pages:faqs
/lookbooks/	apps.store.views.lookbook_list	store:lookbook_list
/lookbooks/<slug:slug>/	apps.store.views.lookbook_detail	store:lookbook_detail
/media/<path>	django.views.static.serve
/order-now/<int:product_id>/	apps.orders.views.order_now	orders:order_now
/order/<str:reference>/	apps.orders.views.order_confirmed	orders:order_confirmed
/our-story/	apps.pages.views.our_story	pages:our_story
/payment/callback/	apps.orders.views.payment_callback	orders:payment_callback
/payment/webhook/	apps.orders.views.paystack_webhook	orders:paystack_webhook
/privacy-policy/	apps.pages.views.privacy_policy	pages:privacy_policy
/products/	apps.store.views.product_list	store:product_list
/products/<slug:slug>/	apps.store.views.product_detail	store:product_detail
/savoir-faire/	apps.pages.views.savoir_faire	pages:savoir_faire
/shipping-returns/	apps.pages.views.shipping_returns	pages:shipping_returns
/size-guide/	apps.pages.views.size_guide	pages:size_guide
/sustainability/	apps.pages.views.sustainability	pages:sustainability
/terms/	apps.pages.views.terms	pages:terms
